UTC,Open,High,Low,Close,Volume
24.11.2022 01:46:00.000 UTC,1.04233,1.04239,1.04231,1.04239,287.63
24.11.2022 01:47:00.000 UTC,1.04239,1.04246,1.04231,1.04232,236.31
24.11.2022 01:48:00.000 UTC,1.04231,1.04237,1.04226,1.04226,252.93
24.11.2022 01:49:00.000 UTC,1.04227,1.04228,1.04219,1.04222,198.15
24.11.2022 01:50:00.000 UTC,1.04224,1.04224,1.04201,1.04207,477.32
24.11.2022 01:51:00.000 UTC,1.04208,1.0421,1.04197,1.04201,416.56
24.11.2022 01:52:00.000 UTC,1.04203,1.04208,1.04191,1.04197,335.35
24.11.2022 01:53:00.000 UTC,1.04198,1.04217,1.04195,1.04211,474.6
24.11.2022 01:54:00.000 UTC,1.0421,1.04228,1.04206,1.04227,448.63
24.11.2022 01:55:00.000 UTC,1.04228,1.04232,1.04221,1.04221,339.87
24.11.2022 01:56:00.000 UTC,1.04221,1.04223,1.04211,1.04212,182.89
24.11.2022 01:57:00.000 UTC,1.04211,1.04215,1.04206,1.04212,270.16
24.11.2022 01:58:00.000 UTC,1.04212,1.04235,1.04212,1.04232,496.73
24.11.2022 01:59:00.000 UTC,1.04232,1.0425,1.04226,1.04232,348.29
24.11.2022 02:00:00.000 UTC,1.04233,1.04245,1.04213,1.04219,877.53
24.11.2022 02:01:00.000 UTC,1.04219,1.04231,1.04218,1.04225,510.62
24.11.2022 02:02:00.000 UTC,1.04224,1.04225,1.0419,1.04194,499.24
24.11.2022 02:03:00.000 UTC,1.04194,1.04196,1.0419,1.0419,167.85
24.11.2022 02:04:00.000 UTC,1.04191,1.04192,1.04174,1.04192,319.37
24.11.2022 02:05:00.000 UTC,1.04193,1.04202,1.04187,1.04191,599.38
24.11.2022 02:06:00.000 UTC,1.04192,1.04222,1.0419,1.04213,471.2
24.11.2022 02:07:00.000 UTC,1.04213,1.04228,1.04207,1.04224,492.11
24.11.2022 02:08:00.000 UTC,1.04224,1.04235,1.04222,1.04227,405.58
24.11.2022 02:09:00.000 UTC,1.04227,1.04234,1.04224,1.0423,279.16
24.11.2022 02:10:00.000 UTC,1.04229,1.0424,1.04227,1.04229,224.4
24.11.2022 02:11:00.000 UTC,1.0423,1.04235,1.04226,1.04228,213.86
24.11.2022 02:12:00.000 UTC,1.04227,1.04245,1.04227,1.04237,245.88
24.11.2022 02:13:00.000 UTC,1.04239,1.04259,1.04232,1.04253,345.41
24.11.2022 02:14:00.000 UTC,1.04254,1.04257,1.04248,1.04248,347.52
24.11.2022 02:15:00.000 UTC,1.04246,1.04254,1.04239,1.04249,405.17
24.11.2022 02:16:00.000 UTC,1.04249,1.04249,1.04243,1.04248,360.4
24.11.2022 02:17:00.000 UTC,1.04247,1.04252,1.04242,1.04249,267.16
24.11.2022 02:18:00.000 UTC,1.04249,1.04282,1.04247,1.04281,269.55
24.11.2022 02:19:00.000 UTC,1.04282,1.04289,1.0428,1.04285,370.38
24.11.2022 02:20:00.000 UTC,1.0429,1.04293,1.04276,1.04277,226.98
24.11.2022 02:21:00.000 UTC,1.0428,1.04292,1.0428,1.04286,452.33
24.11.2022 02:22:00.000 UTC,1.04284,1.04286,1.04264,1.04267,361.99
24.11.2022 02:23:00.000 UTC,1.04267,1.04267,1.04246,1.04252,275.48
24.11.2022 02:24:00.000 UTC,1.04251,1.04252,1.04232,1.04235,364.1
24.11.2022 02:25:00.000 UTC,1.04237,1.04251,1.04233,1.0425,465.25
24.11.2022 02:26:00.000 UTC,1.04252,1.04258,1.04244,1.04249,382.3
24.11.2022 02:27:00.000 UTC,1.04251,1.04252,1.04244,1.04251,162.11
24.11.2022 02:28:00.000 UTC,1.0425,1.0425,1.04237,1.04239,207.43
24.11.2022 02:29:00.000 UTC,1.04239,1.04252,1.04239,1.04244,230.97
24.11.2022 02:30:00.000 UTC,1.04244,1.04262,1.04243,1.0426,436.87
24.11.2022 02:31:00.000 UTC,1.0426,1.04286,1.0426,1.04283,329.74
24.11.2022 02:32:00.000 UTC,1.04284,1.04292,1.04281,1.0429,193.79
24.11.2022 02:33:00.000 UTC,1.0429,1.04293,1.04286,1.04289,230.99
24.11.2022 02:34:00.000 UTC,1.04288,1.04298,1.04286,1.04296,139.46
24.11.2022 02:35:00.000 UTC,1.04295,1.04295,1.04266,1.0428,513.94
24.11.2022 02:36:00.000 UTC,1.04279,1.04298,1.04278,1.04294,259.69
24.11.2022 02:37:00.000 UTC,1.04295,1.04307,1.04295,1.04306,247.85
24.11.2022 02:38:00.000 UTC,1.04305,1.04306,1.043,1.04302,243.78
24.11.2022 02:39:00.000 UTC,1.04303,1.04307,1.04299,1.04307,215.59
24.11.2022 02:40:00.000 UTC,1.04307,1.04308,1.04303,1.04307,254.28
24.11.2022 02:41:00.000 UTC,1.04306,1.04319,1.04305,1.04307,263.95
24.11.2022 02:42:00.000 UTC,1.04307,1.04314,1.04303,1.04312,143.26
24.11.2022 02:43:00.000 UTC,1.04313,1.04337,1.04312,1.04331,239.06
24.11.2022 02:44:00.000 UTC,1.0433,1.0433,1.04304,1.04311,304.92
24.11.2022 02:45:00.000 UTC,1.0431,1.0431,1.04295,1.04298,120.05
24.11.2022 02:46:00.000 UTC,1.04299,1.04302,1.04289,1.04298,188.18
24.11.2022 02:47:00.000 UTC,1.04297,1.04303,1.04296,1.04303,147.66
24.11.2022 02:48:00.000 UTC,1.04304,1.04315,1.04303,1.04312,150.28
24.11.2022 02:49:00.000 UTC,1.04312,1.04314,1.04306,1.04306,255.64
24.11.2022 02:50:00.000 UTC,1.04306,1.04315,1.04306,1.04308,219.22
24.11.2022 02:51:00.000 UTC,1.04312,1.04316,1.04309,1.04314,210.82
24.11.2022 02:52:00.000 UTC,1.04314,1.04319,1.04312,1.04316,200.25
24.11.2022 02:53:00.000 UTC,1.04317,1.04351,1.04313,1.0435,572.54
24.11.2022 02:54:00.000 UTC,1.0435,1.04354,1.04347,1.04349,152.33
24.11.2022 02:55:00.000 UTC,1.04349,1.04352,1.04342,1.04347,315.47
24.11.2022 02:56:00.000 UTC,1.04347,1.04347,1.04337,1.04341,153.34
24.11.2022 02:57:00.000 UTC,1.04341,1.0435,1.04334,1.04342,362.65
24.11.2022 02:58:00.000 UTC,1.04342,1.04343,1.04333,1.04337,204.59
24.11.2022 02:59:00.000 UTC,1.04338,1.04339,1.04315,1.04317,151.9
24.11.2022 03:00:00.000 UTC,1.04317,1.04321,1.04307,1.04308,76.7
24.11.2022 03:01:00.000 UTC,1.04309,1.04334,1.04304,1.04333,253.77
24.11.2022 03:02:00.000 UTC,1.04336,1.04342,1.04327,1.04342,270.52
24.11.2022 03:03:00.000 UTC,1.04342,1.04342,1.0433,1.04335,149.9
24.11.2022 03:04:00.000 UTC,1.04334,1.04353,1.04334,1.04351,338.33
24.11.2022 03:05:00.000 UTC,1.0435,1.04353,1.04343,1.04351,400.34
24.11.2022 03:06:00.000 UTC,1.0435,1.0435,1.0434,1.04344,302.14
24.11.2022 03:07:00.000 UTC,1.04344,1.0435,1.04338,1.04348,244.04
24.11.2022 03:08:00.000 UTC,1.04348,1.04354,1.04341,1.04348,182.36
24.11.2022 03:09:00.000 UTC,1.04348,1.04372,1.04348,1.04372,117.89
24.11.2022 03:10:00.000 UTC,1.04376,1.0442,1.04376,1.04388,511.37
24.11.2022 03:11:00.000 UTC,1.04389,1.04389,1.04356,1.04356,426.49
24.11.2022 03:12:00.000 UTC,1.04354,1.04361,1.04349,1.0436,482.57
24.11.2022 03:13:00.000 UTC,1.04361,1.04362,1.04347,1.04353,390.19
24.11.2022 03:14:00.000 UTC,1.04352,1.04376,1.04352,1.04373,331.69
24.11.2022 03:15:00.000 UTC,1.04373,1.04375,1.04355,1.04356,322.55
24.11.2022 03:16:00.000 UTC,1.04357,1.04386,1.04357,1.04379,404.52
24.11.2022 03:17:00.000 UTC,1.04379,1.04384,1.04361,1.04361,381.33
24.11.2022 03:18:00.000 UTC,1.0436,1.04367,1.0435,1.04352,318.61
24.11.2022 03:19:00.000 UTC,1.04351,1.04356,1.04343,1.04354,288.13
24.11.2022 03:20:00.000 UTC,1.04354,1.0437,1.04352,1.04363,339.59
24.11.2022 03:21:00.000 UTC,1.04366,1.04403,1.04366,1.04402,404.77
24.11.2022 03:22:00.000 UTC,1.044,1.044,1.04385,1.04386,292.08
24.11.2022 03:23:00.000 UTC,1.04385,1.04393,1.04379,1.04391,317.52
24.11.2022 03:24:00.000 UTC,1.04392,1.04397,1.04384,1.04397,453.19
24.11.2022 03:25:00.000 UTC,1.04397,1.04401,1.04389,1.04392,313.83
24.11.2022 03:26:00.000 UTC,1.04392,1.04398,1.04387,1.04398,331.28
24.11.2022 03:27:00.000 UTC,1.04399,1.04421,1.04395,1.04421,443.79
24.11.2022 03:28:00.000 UTC,1.0442,1.04421,1.04409,1.04411,238.42
24.11.2022 03:29:00.000 UTC,1.04411,1.04412,1.04398,1.04398,402.57
24.11.2022 03:30:00.000 UTC,1.04398,1.04398,1.04377,1.04377,369.94
24.11.2022 03:31:00.000 UTC,1.04379,1.04383,1.04356,1.04357,248.71
24.11.2022 03:32:00.000 UTC,1.04359,1.04362,1.04343,1.04347,185.44
24.11.2022 03:33:00.000 UTC,1.04345,1.04349,1.0434,1.04343,228.64
24.11.2022 03:34:00.000 UTC,1.04344,1.04348,1.04337,1.04343,228.58
24.11.2022 03:35:00.000 UTC,1.04343,1.0435,1.04343,1.04348,265.49
24.11.2022 03:36:00.000 UTC,1.04351,1.0436,1.04347,1.04353,227.66
24.11.2022 03:37:00.000 UTC,1.04352,1.04363,1.04351,1.04362,300.12
24.11.2022 03:38:00.000 UTC,1.04361,1.04366,1.04357,1.04362,321.33
24.11.2022 03:39:00.000 UTC,1.04362,1.04367,1.04361,1.04363,419.44
24.11.2022 03:40:00.000 UTC,1.04364,1.04371,1.04354,1.04366,394.8
24.11.2022 03:41:00.000 UTC,1.04367,1.04384,1.04362,1.04381,259.1
